Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Precipitation intensity (mm/h),Air temperature (degC)
2016,5,4,00:40,UTC,0,,0,6.8
2016,5,4,00:50,UTC,0,,0,6.9
2016,5,4,01:00,UTC,0,0,0,6.6
2016,5,4,01:10,UTC,0,,0,7
2016,5,4,01:20,UTC,0,,0,6.8
2016,5,4,01:30,UTC,0,,0,6.8
2016,5,4,01:40,UTC,0,,0,7
2016,5,4,01:50,UTC,0,,0,6.8
2016,5,4,02:00,UTC,0,0,0,6.4
2016,5,4,02:10,UTC,0,,0,6.6
2016,5,4,02:20,UTC,0,,0,6.5
2016,5,4,02:30,UTC,0,,0,6.3
2016,5,4,02:40,UTC,0,,0,6.5
2016,5,4,02:50,UTC,0,,0,6.5
2016,5,4,03:00,UTC,0,0,0,6.7
2016,5,4,03:10,UTC,0,,0,6.9
2016,5,4,03:20,UTC,0,,0,7
2016,5,4,03:30,UTC,0,,0,7.1
2016,5,4,03:40,UTC,0,,0,7.5
2016,5,4,03:50,UTC,0,,0,8.3
2016,5,4,04:00,UTC,0,0,0,9
2016,5,4,04:10,UTC,0,,0,9.4
2016,5,4,04:20,UTC,0,,0,10
2016,5,4,04:30,UTC,0,,0,10.5
2016,5,4,04:40,UTC,0,,0,11.1
2016,5,4,04:50,UTC,0,,0,11.6
2016,5,4,05:00,UTC,0,0,0,12.1
2016,5,4,05:10,UTC,0,,0,12.5
2016,5,4,05:20,UTC,0,,0,13
2016,5,4,05:30,UTC,0,,0,13.5
2016,5,4,05:40,UTC,0,,0,14.1
2016,5,4,05:50,UTC,0,,0,14.7
2016,5,4,06:00,UTC,0,0,0,15
2016,5,4,06:10,UTC,0,,0,15.5
2016,5,4,06:20,UTC,0,,0,16.2
2016,5,4,06:30,UTC,0,,0,16.3
2016,5,4,06:40,UTC,0,,0,16.2
2016,5,4,06:50,UTC,0,,0,16.5
2016,5,4,07:00,UTC,0,0,0,16.7
2016,5,4,07:10,UTC,0,,0,16.6
2016,5,4,07:20,UTC,0,,0,17.1
2016,5,4,07:30,UTC,0,,0,17.3
2016,5,4,07:40,UTC,0,,0,17.1
2016,5,4,07:50,UTC,0,,0,17.6
2016,5,4,08:00,UTC,0,0,0,17.9
2016,5,4,08:10,UTC,0,,0,17.9
2016,5,4,08:20,UTC,0,,0,17.6
